feature	depth	Nsites	totalNsites	propsites
genome	154	3639	1108645000	3.28239e-06
genome	155	3262	1108645000	2.94233e-06
genome	156	3423	1108645000	3.08755e-06
genome	157	3382	1108645000	3.05057e-06
genome	158	3214	1108645000	2.89903e-06
genome	159	3226	1108645000	2.90986e-06
genome	160	3197	1108645000	2.8837e-06
genome	161	3041	1108645000	2.74299e-06
genome	162	3114	1108645000	2.80883e-06
genome	163	3066	1108645000	2.76554e-06
genome	164	3056	1108645000	2.75652e-06
genome	165	2945	1108645000	2.6564e-06
genome	166	3023	1108645000	2.72675e-06
genome	167	2767	1108645000	2.49584e-06
genome	168	2744	1108645000	2.47509e-06
genome	169	2575	1108645000	2.32266e-06
genome	170	2482	1108645000	2.23877e-06
genome	171	2308	1108645000	2.08182e-06
genome	172	2463	1108645000	2.22163e-06
genome	173	2458	1108645000	2.21712e-06
genome	174	2425	1108645000	2.18735e-06
genome	175	2442	1108645000	2.20269e-06
genome	176	2488	1108645000	2.24418e-06
genome	177	2228	1108645000	2.00966e-06
genome	178	2277	1108645000	2.05386e-06
genome	179	2255	1108645000	2.03401e-06
genome	180	2158	1108645000	1.94652e-06
genome	181	2066	1108645000	1.86354e-06
genome	182	2064	1108645000	1.86173e-06
genome	183	1938	1108645000	1.74808e-06
genome	184	1962	1108645000	1.76973e-06
genome	185	1971	1108645000	1.77785e-06
genome	186	1924	1108645000	1.73545e-06
genome	187	2047	1108645000	1.8464e-06
genome	188	1853	1108645000	1.67141e-06
genome	189	1667	1108645000	1.50364e-06
genome	190	1724	1108645000	1.55505e-06
genome	191	1801	1108645000	1.62451e-06
genome	192	1825	1108645000	1.64615e-06
genome	193	1836	1108645000	1.65608e-06
genome	194	1782	1108645000	1.60737e-06
genome	195	1686	1108645000	1.52078e-06
genome	196	1781	1108645000	1.60647e-06
genome	197	1730	1108645000	1.56046e-06
genome	198	1589	1108645000	1.43328e-06
genome	199	1670	1108645000	1.50634e-06
genome	200	1673	1108645000	1.50905e-06
genome	201	1770	1108645000	1.59654e-06
genome	202	1604	1108645000	1.44681e-06
