feature	depth	Nsites	totalNsites	propsites
genome	155	6109	1108645000	5.51033e-06
genome	156	6115	1108645000	5.51574e-06
genome	157	6122	1108645000	5.52206e-06
genome	158	6029	1108645000	5.43817e-06
genome	159	5796	1108645000	5.228e-06
genome	160	5940	1108645000	5.35789e-06
genome	161	5827	1108645000	5.25597e-06
genome	162	5749	1108645000	5.18561e-06
genome	163	5534	1108645000	4.99168e-06
genome	164	5449	1108645000	4.91501e-06
genome	165	5425	1108645000	4.89336e-06
genome	166	5296	1108645000	4.777e-06
genome	167	5339	1108645000	4.81579e-06
genome	168	5186	1108645000	4.67778e-06
genome	169	4890	1108645000	4.41079e-06
genome	170	4853	1108645000	4.37742e-06
genome	171	5131	1108645000	4.62817e-06
genome	172	4812	1108645000	4.34043e-06
genome	173	4743	1108645000	4.2782e-06
genome	174	4756	1108645000	4.28992e-06
genome	175	4628	1108645000	4.17447e-06
genome	176	4428	1108645000	3.99407e-06
genome	177	4389	1108645000	3.95889e-06
genome	178	4351	1108645000	3.92461e-06
genome	179	4657	1108645000	4.20062e-06
genome	180	4302	1108645000	3.88041e-06
genome	181	3978	1108645000	3.58816e-06
genome	182	3877	1108645000	3.49706e-06
genome	183	3873	1108645000	3.49345e-06
genome	184	3897	1108645000	3.5151e-06
genome	185	3838	1108645000	3.46188e-06
genome	186	3942	1108645000	3.55569e-06
genome	187	3854	1108645000	3.47632e-06
genome	188	3778	1108645000	3.40776e-06
genome	189	3795	1108645000	3.4231e-06
genome	190	3563	1108645000	3.21383e-06
genome	191	3595	1108645000	3.2427e-06
genome	192	3643	1108645000	3.28599e-06
genome	193	3454	1108645000	3.11551e-06
genome	194	3567	1108645000	3.21744e-06
genome	195	3587	1108645000	3.23548e-06
genome	196	3445	1108645000	3.1074e-06
genome	197	3383	1108645000	3.05147e-06
genome	198	3338	1108645000	3.01088e-06
genome	199	3440	1108645000	3.10289e-06
genome	200	3271	1108645000	2.95045e-06
genome	201	3186	1108645000	2.87378e-06
genome	202	3199	1108645000	2.8855e-06
genome	203	3178	1108645000	2.86656e-06
genome	204	3050	1108645000	2.75111e-06
genome	205	3069	1108645000	2.76824e-06
genome	206	3104	1108645000	2.79981e-06
genome	207	3089	1108645000	2.78628e-06
genome	208	3028	1108645000	2.73126e-06
genome	209	3091	1108645000	2.78809e-06
genome	210	2949	1108645000	2.66e-06
genome	211	3087	1108645000	2.78448e-06
genome	212	3045	1108645000	2.7466e-06
genome	213	2794	1108645000	2.52019e-06
genome	214	2913	1108645000	2.62753e-06
genome	215	2911	1108645000	2.62573e-06
genome	216	2891	1108645000	2.60769e-06
genome	217	2789	1108645000	2.51568e-06
genome	218	2812	1108645000	2.53643e-06
genome	219	2596	1108645000	2.3416e-06
genome	220	2615	1108645000	2.35874e-06
genome	221	2532	1108645000	2.28387e-06
genome	222	2522	1108645000	2.27485e-06
genome	223	2408	1108645000	2.17202e-06
genome	224	2519	1108645000	2.27214e-06
genome	225	2457	1108645000	2.21622e-06
genome	226	2498	1108645000	2.2532e-06
genome	227	2505	1108645000	2.25951e-06
genome	228	2485	1108645000	2.24147e-06
