feature	depth	Nsites	totalNsites	propsites
genome	154	2952	1108645000	2.66271e-06
genome	155	2901	1108645000	2.61671e-06
genome	156	2761	1108645000	2.49043e-06
genome	157	2734	1108645000	2.46607e-06
genome	158	2652	1108645000	2.39211e-06
genome	159	2709	1108645000	2.44352e-06
genome	160	2715	1108645000	2.44894e-06
genome	161	2767	1108645000	2.49584e-06
genome	162	2671	1108645000	2.40925e-06
genome	163	2653	1108645000	2.39301e-06
genome	164	2583	1108645000	2.32987e-06
genome	165	2529	1108645000	2.28116e-06
genome	166	2374	1108645000	2.14135e-06
genome	167	2547	1108645000	2.2974e-06
genome	168	2371	1108645000	2.13865e-06
genome	169	2426	1108645000	2.18826e-06
genome	170	2347	1108645000	2.117e-06
genome	171	2239	1108645000	2.01958e-06
genome	172	2345	1108645000	2.11519e-06
genome	173	2212	1108645000	1.99523e-06
genome	174	2296	1108645000	2.071e-06
genome	175	2114	1108645000	1.90683e-06
genome	176	2277	1108645000	2.05386e-06
genome	177	2194	1108645000	1.97899e-06
genome	178	2073	1108645000	1.86985e-06
genome	179	2106	1108645000	1.89962e-06
genome	180	2025	1108645000	1.82655e-06
genome	181	1946	1108645000	1.7553e-06
genome	182	2136	1108645000	1.92668e-06
genome	183	2021	1108645000	1.82295e-06
genome	184	2007	1108645000	1.81032e-06
genome	185	1947	1108645000	1.7562e-06
genome	186	1972	1108645000	1.77875e-06
genome	187	1907	1108645000	1.72012e-06
genome	188	1839	1108645000	1.65878e-06
genome	189	1889	1108645000	1.70388e-06
genome	190	1826	1108645000	1.64706e-06
genome	191	1935	1108645000	1.74537e-06
genome	192	1950	1108645000	1.7589e-06
genome	193	1845	1108645000	1.66419e-06
genome	194	1926	1108645000	1.73726e-06
genome	195	1815	1108645000	1.63713e-06
genome	196	1706	1108645000	1.53882e-06
genome	197	1616	1108645000	1.45764e-06
genome	198	1706	1108645000	1.53882e-06
genome	199	1707	1108645000	1.53972e-06
genome	200	1746	1108645000	1.5749e-06
genome	201	1796	1108645000	1.62e-06
genome	202	1907	1108645000	1.72012e-06
genome	203	1828	1108645000	1.64886e-06
genome	204	1669	1108645000	1.50544e-06
genome	205	1570	1108645000	1.41614e-06
genome	206	1614	1108645000	1.45583e-06
genome	207	1677	1108645000	1.51266e-06
genome	208	1728	1108645000	1.55866e-06
genome	209	1625	1108645000	1.46575e-06
genome	210	1534	1108645000	1.38367e-06
genome	211	1561	1108645000	1.40803e-06
genome	212	1549	1108645000	1.3972e-06
genome	213	1530	1108645000	1.38006e-06
genome	214	1551	1108645000	1.39901e-06
genome	215	1477	1108645000	1.33226e-06
genome	216	1422	1108645000	1.28265e-06
genome	217	1488	1108645000	1.34218e-06
genome	218	1469	1108645000	1.32504e-06
genome	219	1467	1108645000	1.32324e-06
genome	220	1373	1108645000	1.23845e-06
genome	221	1356	1108645000	1.22311e-06
genome	222	1499	1108645000	1.3521e-06
genome	223	1358	1108645000	1.22492e-06
genome	224	1316	1108645000	1.18703e-06
genome	225	1360	1108645000	1.22672e-06
genome	226	1344	1108645000	1.21229e-06
genome	227	1390	1108645000	1.25378e-06
genome	228	1327	1108645000	1.19696e-06
genome	229	1265	1108645000	1.14103e-06
genome	230	1215	1108645000	1.09593e-06
genome	231	1236	1108645000	1.11487e-06
genome	232	1222	1108645000	1.10225e-06
genome	233	1135	1108645000	1.02377e-06
genome	234	1093	1108645000	9.85888e-07
genome	235	1133	1108645000	1.02197e-06
genome	236	1114	1108645000	1.00483e-06
genome	237	1118	1108645000	1.00844e-06
genome	238	1163	1108645000	1.04903e-06
genome	239	1149	1108645000	1.0364e-06
genome	240	1067	1108645000	9.62436e-07
genome	241	1025	1108645000	9.24552e-07
genome	242	1133	1108645000	1.02197e-06
genome	243	1044	1108645000	9.4169e-07
genome	244	1081	1108645000	9.75064e-07
genome	245	984	1108645000	8.8757e-07
genome	246	1002	1108645000	9.03806e-07
genome	247	1047	1108645000	9.44396e-07
genome	248	1083	1108645000	9.76868e-07
genome	249	1054	1108645000	9.5071e-07
