feature	depth	Nsites	totalNsites	propsites
genome	0	119944006	1108645000	0.10819
genome	1	18987900	1108645000	0.0171271
genome	2	18463872	1108645000	0.0166544
genome	3	20034954	1108645000	0.0180716
genome	4	23232779	1108645000	0.020956
genome	5	27932875	1108645000	0.0251955
genome	6	34234866	1108645000	0.0308799
genome	7	41960924	1108645000	0.0378488
genome	8	50710026	1108645000	0.0457405
genome	9	59628487	1108645000	0.053785
genome	10	67674578	1108645000	0.0610426
genome	11	73883558	1108645000	0.0666431
genome	12	77202653	1108645000	0.0696369
genome	13	77098853	1108645000	0.0695433
genome	14	73706378	1108645000	0.0664833
genome	15	67401275	1108645000	0.0607961
genome	16	59000483	1108645000	0.0532186
genome	17	49566346	1108645000	0.0447089
genome	18	39959956	1108645000	0.036044
genome	19	30986170	1108645000	0.0279496
genome	20	23172164	1108645000	0.0209013
genome	21	16731464	1108645000	0.0150918
genome	22	11692650	1108645000	0.0105468
genome	23	7924740	1108645000	0.00714813
genome	24	5235392	1108645000	0.00472233
genome	25	3396188	1108645000	0.00306337
genome	26	2179140	1108645000	0.00196559
genome	27	1389032	1108645000	0.00125291
genome	28	900863	1108645000	0.00081258
genome	29	597316	1108645000	0.00053878
genome	30	412103	1108645000	0.000371718
genome	31	305344	1108645000	0.000275421
genome	32	236024	1108645000	0.000212894
genome	33	195006	1108645000	0.000175896
genome	34	164343	1108645000	0.000148238
genome	35	143988	1108645000	0.000129877
genome	36	128620	1108645000	0.000116016
genome	37	115514	1108645000	0.000104194
genome	38	104907	1108645000	9.46263e-05
genome	39	96567	1108645000	8.71036e-05
genome	40	90146	1108645000	8.13119e-05
genome	41	81166	1108645000	7.32119e-05
genome	42	73572	1108645000	6.63621e-05
genome	43	68563	1108645000	6.1844e-05
genome	44	63096	1108645000	5.69127e-05
genome	45	58806	1108645000	5.30431e-05
genome	46	53690	1108645000	4.84285e-05
genome	47	50635	1108645000	4.56729e-05
genome	48	47722	1108645000	4.30453e-05
genome	49	43696	1108645000	3.94139e-05
genome	50	41362	1108645000	3.73086e-05
genome	51	39270	1108645000	3.54216e-05
genome	52	37046	1108645000	3.34156e-05
genome	53	34187	1108645000	3.08367e-05
genome	54	31905	1108645000	2.87784e-05
genome	55	30790	1108645000	2.77726e-05
