feature	depth	Nsites	totalNsites	propsites
genome	0	102499005	1108645000	0.0924543
genome	1	11141046	1108645000	0.0100492
genome	2	9627726	1108645000	0.00868423
genome	3	9316379	1108645000	0.00840339
genome	4	9503620	1108645000	0.00857228
genome	5	10014806	1108645000	0.00903338
genome	6	10835855	1108645000	0.00977396
genome	7	11928265	1108645000	0.0107593
genome	8	13342075	1108645000	0.0120346
genome	9	14989913	1108645000	0.0135209
genome	10	16822334	1108645000	0.0151738
genome	11	18718482	1108645000	0.0168841
genome	12	20521707	1108645000	0.0185106
genome	13	22194382	1108645000	0.0200194
genome	14	23661794	1108645000	0.021343
genome	15	24967460	1108645000	0.0225207
genome	16	26225166	1108645000	0.0236552
genome	17	27480818	1108645000	0.0247878
genome	18	28929238	1108645000	0.0260942
genome	19	30609148	1108645000	0.0276095
genome	20	32482690	1108645000	0.0292995
genome	21	34598347	1108645000	0.0312078
genome	22	36772440	1108645000	0.0331688
genome	23	38880691	1108645000	0.0350705
genome	24	40694717	1108645000	0.0367067
genome	25	42061752	1108645000	0.0379398
genome	26	42821621	1108645000	0.0386252
genome	27	42845288	1108645000	0.0386465
genome	28	42106675	1108645000	0.0379803
genome	29	40607063	1108645000	0.0366277
genome	30	38410309	1108645000	0.0346462
genome	31	35591789	1108645000	0.0321039
genome	32	32353863	1108645000	0.0291832
genome	33	28819639	1108645000	0.0259954
genome	34	25182010	1108645000	0.0227142
genome	35	21584531	1108645000	0.0194693
genome	36	18167176	1108645000	0.0163868
genome	37	15004538	1108645000	0.0135341
genome	38	12173506	1108645000	0.0109805
genome	39	9697542	1108645000	0.0087472
genome	40	7605517	1108645000	0.00686019
genome	41	5869759	1108645000	0.00529453
genome	42	4464759	1108645000	0.00402722
genome	43	3358441	1108645000	0.00302932
genome	44	2495606	1108645000	0.00225104
genome	45	1844954	1108645000	0.00166415
genome	46	1356328	1108645000	0.00122341
genome	47	998167	1108645000	0.000900349
genome	48	737296	1108645000	0.000665042
genome	49	553417	1108645000	0.000499183
genome	50	421027	1108645000	0.000379767
genome	51	329113	1108645000	0.000296861
genome	52	264812	1108645000	0.000238861
genome	53	217525	1108645000	0.000196208
genome	54	187890	1108645000	0.000169477
genome	55	164515	1108645000	0.000148393
genome	56	147584	1108645000	0.000133121
genome	57	134477	1108645000	0.000121299
genome	58	123492	1108645000	0.00011139
genome	59	115302	1108645000	0.000104003
genome	60	107325	1108645000	9.68074e-05
genome	61	100872	1108645000	9.09867e-05
genome	62	95213	1108645000	8.58823e-05
genome	63	88704	1108645000	8.00112e-05
genome	64	84268	1108645000	7.60099e-05
genome	65	79925	1108645000	7.20925e-05
genome	66	76825	1108645000	6.92963e-05
genome	67	72456	1108645000	6.53555e-05
genome	68	69167	1108645000	6.23888e-05
genome	69	64791	1108645000	5.84416e-05
genome	70	61585	1108645000	5.55498e-05
genome	71	58826	1108645000	5.30612e-05
genome	72	56423	1108645000	5.08937e-05
genome	73	53521	1108645000	4.8276e-05
genome	74	51221	1108645000	4.62014e-05
genome	75	48235	1108645000	4.35081e-05
genome	76	46643	1108645000	4.20721e-05
genome	77	44675	1108645000	4.02969e-05
genome	78	42322	1108645000	3.81745e-05
genome	79	40693	1108645000	3.67052e-05
genome	80	38876	1108645000	3.50662e-05
genome	81	38112	1108645000	3.43771e-05
genome	82	36592	1108645000	3.30061e-05
genome	83	35277	1108645000	3.18199e-05
genome	84	33681	1108645000	3.03803e-05
genome	85	32083	1108645000	2.89389e-05
genome	86	31609	1108645000	2.85114e-05
genome	87	30250	1108645000	2.72856e-05
genome	88	28700	1108645000	2.58875e-05
genome	89	27761	1108645000	2.50405e-05
genome	90	26756	1108645000	2.4134e-05
genome	91	25500	1108645000	2.30011e-05
genome	92	25317	1108645000	2.2836e-05
genome	93	24311	1108645000	2.19286e-05
genome	94	23135	1108645000	2.08678e-05
genome	95	22315	1108645000	2.01282e-05
genome	96	21635	1108645000	1.95148e-05
genome	97	21285	1108645000	1.91991e-05
genome	98	20493	1108645000	1.84847e-05
genome	99	19946	1108645000	1.79913e-05
genome	100	19266	1108645000	1.7378e-05
genome	101	18709	1108645000	1.68756e-05
genome	102	17956	1108645000	1.61963e-05
genome	103	17750	1108645000	1.60105e-05
genome	104	17215	1108645000	1.5528e-05
genome	105	16444	1108645000	1.48325e-05
genome	106	15606	1108645000	1.40766e-05
genome	107	14757	1108645000	1.33108e-05
genome	108	14764	1108645000	1.33172e-05
genome	109	14181	1108645000	1.27913e-05
genome	110	14148	1108645000	1.27615e-05
genome	111	13412	1108645000	1.20977e-05
genome	112	13199	1108645000	1.19055e-05
genome	113	12865	1108645000	1.16043e-05
genome	114	12000	1108645000	1.0824e-05
genome	115	12160	1108645000	1.09683e-05
genome	116	11556	1108645000	1.04235e-05
genome	117	11105	1108645000	1.00167e-05
genome	118	10946	1108645000	9.87331e-06
genome	119	10903	1108645000	9.83453e-06
genome	120	10656	1108645000	9.61173e-06
genome	121	10686	1108645000	9.63879e-06
genome	122	9785	1108645000	8.82609e-06
genome	123	9818	1108645000	8.85586e-06
genome	124	9873	1108645000	8.90547e-06
genome	125	9646	1108645000	8.70071e-06
genome	126	9247	1108645000	8.34081e-06
genome	127	8977	1108645000	8.09727e-06
genome	128	8614	1108645000	7.76985e-06
genome	129	8581	1108645000	7.74008e-06
genome	130	8649	1108645000	7.80142e-06
genome	131	8037	1108645000	7.24939e-06
genome	132	7923	1108645000	7.14656e-06
genome	133	7707	1108645000	6.95173e-06
genome	134	7859	1108645000	7.08883e-06
genome	135	7306	1108645000	6.59003e-06
genome	136	7376	1108645000	6.65317e-06
genome	137	7548	1108645000	6.80831e-06
genome	138	7190	1108645000	6.48539e-06
genome	139	7020	1108645000	6.33205e-06
genome	140	6722	1108645000	6.06326e-06
genome	141	7078	1108645000	6.38437e-06
genome	142	6656	1108645000	6.00373e-06
genome	143	6789	1108645000	6.12369e-06
genome	144	6383	1108645000	5.75748e-06
genome	145	6221	1108645000	5.61135e-06
genome	146	6209	1108645000	5.60053e-06
genome	147	6030	1108645000	5.43907e-06
genome	148	6351	1108645000	5.72861e-06
genome	149	6047	1108645000	5.45441e-06
genome	150	5835	1108645000	5.26318e-06
genome	151	5936	1108645000	5.35428e-06
genome	152	5645	1108645000	5.0918e-06
genome	153	5723	1108645000	5.16216e-06
genome	154	5647	1108645000	5.09361e-06
genome	155	5557	1108645000	5.01242e-06
genome	156	5499	1108645000	4.96011e-06
genome	157	5423	1108645000	4.89156e-06
genome	158	5221	1108645000	4.70935e-06
genome	159	5226	1108645000	4.71386e-06
genome	160	5205	1108645000	4.69492e-06
genome	161	5157	1108645000	4.65162e-06
genome	162	4767	1108645000	4.29984e-06
genome	163	4675	1108645000	4.21686e-06
genome	164	4674	1108645000	4.21596e-06
genome	165	4606	1108645000	4.15462e-06
genome	166	4230	1108645000	3.81547e-06
genome	167	4545	1108645000	4.0996e-06
genome	168	4284	1108645000	3.86418e-06
genome	169	4264	1108645000	3.84614e-06
genome	170	4127	1108645000	3.72256e-06
genome	171	4118	1108645000	3.71444e-06
genome	172	4108	1108645000	3.70542e-06
genome	173	4073	1108645000	3.67385e-06
genome	174	3963	1108645000	3.57463e-06
genome	175	3983	1108645000	3.59267e-06
genome	176	3923	1108645000	3.53855e-06
genome	177	3803	1108645000	3.43031e-06
genome	178	3734	1108645000	3.36808e-06
genome	179	3678	1108645000	3.31756e-06
genome	180	3643	1108645000	3.28599e-06
genome	181	3457	1108645000	3.11822e-06
genome	182	3486	1108645000	3.14438e-06
genome	183	3387	1108645000	3.05508e-06
genome	184	3288	1108645000	2.96578e-06
genome	185	3264	1108645000	2.94413e-06
genome	186	3292	1108645000	2.96939e-06
genome	187	3137	1108645000	2.82958e-06
genome	188	3195	1108645000	2.8819e-06
genome	189	3189	1108645000	2.87648e-06
genome	190	3160	1108645000	2.85033e-06
genome	191	3015	1108645000	2.71954e-06
genome	192	3034	1108645000	2.73667e-06
genome	193	3021	1108645000	2.72495e-06
genome	194	2874	1108645000	2.59235e-06
genome	195	2800	1108645000	2.52561e-06
genome	196	2787	1108645000	2.51388e-06
genome	197	2918	1108645000	2.63204e-06
genome	198	2877	1108645000	2.59506e-06
genome	199	2655	1108645000	2.39482e-06
genome	200	2652	1108645000	2.39211e-06
genome	201	2635	1108645000	2.37678e-06
genome	202	2587	1108645000	2.33348e-06
genome	203	2446	1108645000	2.2063e-06
