HOG,soft_chr,finalD
HOG_24396,AAAA,5.8816112868953496e-08
HOG_24396,AAAA,1.2264521754150337
HOG_24396,AAAAA,8.503775461576879e-11
HOG_24396,AAAAA,2.3101165425032377e-10
HOG_24396,AAAAA,1.768388715335277
HOG_24396,AAAA,9.864734238362871e-07
HOG_24396,AAAAA,2.255183062516153e-08
HOG_24396,AAAA,1.3054068404017016e-07
HOG_24396,AAAA,0.5126056937806425
HOG_24396,XXXXX,0
HOG_24396,AAAAA,0.5079972462981459
HOG_24396,AAAAA,2.7132790691030095
HOG_24396,AAAAA,5.111542122904211e-08
HOG_24396,AAAAA,1.2068767318851314e-07
HOG_24396,AAAAA,1.7022102838382125e-08
HOG_24396,AAAAA,6.162736099213362e-09
HOG_24396,AAAAA,0.21890675757731515
HOG_24396,AAAAA,0.27829780868160015
HOG_24396,XXXX,0.941504602535133
HOG_24396,AAAAA,7.400503818644211e-07
HOG_24396,AAAAA,0.025066202671951032
HOG_24396,AAAAA,3.142740752082318e-07
HOG_24396,AAAA,2.2737367544323206e-13
HOG_24396,AAAAA,8.363713277503848e-09
HOG_24396,AAAAA,3.5657649277709424e-08
HOG_24396,AAAAA,6.619720047449846
HOG_24396,AAAAA,2.5245935830753297e-07
HOG_24396,AAAAA,0.18947749969447614
HOG_24396,AAAAA,0.424478972322504
HOG_24396,AAAA,1.2823875294998288e-10
HOG_24396,AAAA,3.514014679240063e-08
HOG_24396,AAAA,5.695146683137864e-07
HOG_24396,AAAA,8.317147148773074e-08
HOG_24396,AAAAA,9.76797309704125e-10
HOG_24396,AAAAA,4.46689227828756e-08
HOG_24396,AAAA,13.341399549524795
HOG_24396,AAAAA,1.4637963673526428
HOG_24396,AAAA,1.3041790225543082e-07
HOG_24396,XXXXX,3.5446646506898105e-08
HOG_24396,AAAA,0.05614449853237602
HOG_24396,AAAA,0.004164194321674586
HOG_24396,AAAA,0.5334260706731584
HOG_24396,AAAA,0.06299776849073169
HOG_24396,AAAA,0
HOG_24396,AAAAA,0.2679997324812575
HOG_24396,AAAA,2.564192982390523e-07
HOG_24396,AAAAA,0.2780315430172777
HOG_24396,AAAA,2.6755777054054306
HOG_24396,AAAAA,0.5162952513874188
HOG_24396,AAAA,4.926641850033775e-08
HOG_24396,AAAAA,3.890454536303878e-08
HOG_24396,AAAA,0.3316582805910002
HOG_24396,AAAAA,0.23303592800584738
HOG_24396,AAAAA,5.002220859751105e-12
HOG_24396,AAAA,2.3542179108007986
HOG_24396,AAAA,1.1687006917782128e-10
HOG_24396,XXXXX,2.306564295969565
HOG_24396,AAAAA,2.798024070216343e-07
HOG_24396,AAAA,1.0368239600211382e-10
HOG_24396,AAAAA,1.0136500670432724
HOG_24396,AAAA,4.217326932121068e-08
HOG_24396,AAAA,4.479734146862484
HOG_24396,AAAAA,0.663375891823307
HOG_24396,AAAAA,0.2130429134190308
HOG_24396,AAAA,0.16657677717557817
HOG_24396,AAAAA,0.044267978282732656
HOG_24396,AAAAA,1.393618731526658e-08
HOG_24396,AAAA,2.589058567536995e-07
HOG_24396,AAAA,1.3751559890806675e-09
HOG_24396,AAAA,0.22752364018242588
HOG_24396,AAAAA,7.585376806673594e-07
HOG_24396,AAAA,0
HOG_24396,AAAAA,6.820609996793792e-07
HOG_24396,AAAA,2.8073942808259744
HOG_24396,AAAAA,0.5717014042602386
HOG_24396,AAAAA,0.5156215991555655
HOG_24396,AAAAA,1.7355193344865256
HOG_24396,AAAAA,7.430883282117065
HOG_24396,AAAA,2.2737367544323206e-12
HOG_24396,AAAAA,8.731149137020111e-11
HOG_24396,AAAAA,0.062244221240916886
HOG_24396,AAAA,3.8569624008068786
HOG_24396,AAAA,4.4780608732253313e-07
HOG_24396,AAAAA,1.0186340659856796e-10
HOG_24396,AAAA,6.475784175563604e-08
HOG_24396,AAAA,5.491808531229708
HOG_24396,AAAA,3.272698450018652e-07
HOG_24396,XXXX,1.2527743820101023e-07
HOG_24396,AAAAA,3.977993401349522e-07
HOG_24396,AAAAA,1.1500560503918678e-07
HOG_24396,AAAA,0.1786213539576238
HOG_24396,AAAA,4.2452029447304085e-07
HOG_24396,AAAA,7.824146450730041e-07
HOG_24396,AAAAA,8.185452315956354e-10
HOG_24396,AAAA,0.34163401735713705
HOG_24396,AAAA,1.1400061339372769e-08
HOG_24396,AAAA,1.9771505321841687e-08
HOG_24396,AAAA,0.40180247318494366
HOG_24396,AAAA,3.937584551749751e-07
HOG_24396,AAAAA,7.080044224027006
HOG_24396,AAAAA,2.3196662368718535e-09
HOG_24396,AAAA,1.0564008334768005e-08
HOG_24396,AAAA,1.0595613275654614e-10
HOG_24396,AAAAA,2.39469954976812e-09
HOG_24396,AAAAA,6.307709554675967e-08
HOG_24396,AAAAA,0.03967568970256252
HOG_24396,AAAA,6.247682904358953e-08
HOG_24396,AAAAA,1.3139543408233294
HOG_24396,AAAAA,4.6148488763719797e-07
HOG_24396,AAAAA,5.176661943551153e-08
HOG_24396,AAAA,1.5952537069097161e-09
